,0
road_mean_Y_smooth,4142489.282657385
road_count,486865.91607636213
dong,367329.09490272996
area_m2,326054.66518155334
contract_ym,172267.40345909595
building_age,63718.819306451085
market_mean_Y_at_t,56179.91715593934
floor,42687.349274241926
kospi_close,39599.78519936204
station_min_dist,36771.48620989323
dong_12m_mean_Y,33038.248257911204
univ_min_dist,31551.417770016193
dong_3m_mean_Y,30171.612564706804
age_x_type,29986.699685961008
area_x_dong_meanY,27087.899553376436
kospi_volume,26612.738338696956
kospi_change_pct,26243.101889079808
dong_type_mean_Y,24559.362322175504
station_prox_x_type,21166.673528873922
building_type,20980.032932049035
floor_x_type,19593.322803097963
year,17305.207129561903
month,16137.72808023095
type_mean_Y,15480.279140436649
log_area,13777.19578269124
gangnam_x_log_area,12040.436331951618
station_proximity,10604.233586025239
dong_std_Y,9588.846298623084
base_rate,9544.351289939881
base_rate_yoy,9122.252476841211
univ_proximity,9005.882093667984
dong_mean_Y,6956.548805308342
floor_group,6512.7939480602745
dong_median_Y,6272.92375728488
kospi_close_log,6227.228525352478
starbucks_count,6008.617156869173
dong_count,5347.665338587761
mart_count,4334.815994286537
dong_label,4025.925278413296
year_idx,3705.0297349572184
infra_score,3514.7695144951344
age_group,3351.4032021045687
base_rate_3m_change,3199.4396892011164
is_underground,3106.3968460440638
is_villa,2758.532982850075
is_apt,1759.968464231491
is_moving_season,1692.9312337040901
area_bin,1292.9695867180824
quarter,1089.2705099225045
policy_era,649.3141960620881
type_label,559.5482028365135
is_gangnam_3,499.730176115036
missing_infra_flag,480.12118768692017
is_office,223.2392087340355
is_riverside,170.5963989853859
